Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/NeoGeoPocket/Neo Geo Pocket Manuals/King of Fighters R-1.pdf,https://archive.org/download/mister-manuals/1998_SNK%20Neo%20Geo%20Pocket.zip/1998_SNK%20Neo%20Geo%20Pocket%2FKing%20of%20Fighters%20R-1.pdf,3191936,295a61c5d61ef3e42ec38c45574b1e13,,,King of Fighters R-1.pdf
docs/NeoGeoPocket/Neo Geo Pocket Manuals/Neo Geo Cup '98 Plus.pdf,https://archive.org/download/mister-manuals/1998_SNK%20Neo%20Geo%20Pocket.zip/1998_SNK%20Neo%20Geo%20Pocket%2FNeo%20Geo%20Cup%20%2798%20Plus.pdf,12343,b7136f2ab76368768ffd1283cfc8dfab,,,Neo Geo Cup '98 Plus.pdf
docs/NeoGeoPocket/Neo Geo Pocket Manuals/Samurai Shodown!.pdf,https://archive.org/download/mister-manuals/1998_SNK%20Neo%20Geo%20Pocket.zip/1998_SNK%20Neo%20Geo%20Pocket%2FSamurai%20Shodown%21.pdf,2952108,4d89a7c20fb58ef7f66e728ee3d30deb,,,Samurai Shodown!.pdf
